Région,Année,Variete
Guider,2019,variete_A
Kaélé,2019,variete_A
Maroua,2019,variete_B
Mayo Galké,2019,variete_A
Ngong,2019,variete_B
Tchatibali,2019,variete_B
Touboro,2019,variete_A
Garoua,2020,variete_B
Guider,2020,variete_A
Kaélé,2020,variete_A
Maroua,2020,variete_A
Mayo Galké,2020,variete_A
Ngong,2020,variete_A
Tchatibali,2020,variete_A
Touboro,2020,variete_B
Garoua,2021,variete_B
Guider,2021,variete_A
Kaélé,2021,variete_B
Maroua,2021,variete_A
Mayo Galké,2021,variete_B
Ngong,2021,variete_B
Tchatibali,2021,variete_B
Touboro,2021,variete_B
Garoua,2022,variete_B
Guider,2022,variete_A
Kaélé,2022,variete_A
Maroua,2022,variete_A
Mayo Galké,2022,variete_B
Ngong,2022,variete_B
Tchatibali,2022,variete_B
Touboro,2022,variete_B
Garoua,2023,variete_A
Guider,2023,variete_B
Kaélé,2023,variete_B
Maroua,2023,variete_A
Mayo Galké,2023,variete_B
Ngong,2023,variete_A
Tchatibali,2023,variete_A
Touboro,2023,variete_B
Garoua,2024,variete_A
Guider,2024,variete_B
Kaélé,2024,variete_A
Maroua,2024,variete_A
Mayo Galké,2024,variete_A
Ngong,2024,variete_A
Tchatibali,2024,variete_A
Touboro,2024,variete_B
Garoua,2025,variete_B
Guider,2025,variete_A
Kaélé,2025,variete_A
Maroua,2025,variete_B
Mayo Galké,2025,variete_B
Ngong,2025,variete_A
Tchatibali,2025,variete_B
Touboro,2025,variete_A
Garoua,2026,variete_B
Guider,2026,variete_B
Kaélé,2026,variete_B
Maroua,2026,variete_A
Mayo Galké,2026,variete_B
Ngong,2026,variete_A
Tchatibali,2026,variete_A
Touboro,2026,variete_A
